Date,Infected,Recovered,Death,Active Cases,,,,,,,,,,,
16-05-2020,220,100,17,103,,,,,,,,,,,S
17-05-2020,257,117,18,122,,,,,,,,,,,
18-05-2020,261,121,18,122,,,,,,,,,,,
19-05-2020,279,144,20,115,,,,,,,,,,,
20-05-2020,308,167,20,121,,,,,,,,,,,
21-05-2020,341,191,21,129,,,,,,,,,,,
22-05-2020,355,206,23,126,,,,,,,,,,,
23-05-2020,378,211,23,136,,,,,,,,,,,
24-05-2020,397,229,24,144,,,,,,,,,,,
25-05-2020,415,251,25,139,,,,,,,,,,,
26-05-2020,435,289,28,118,,,,,,,,,,,
27-05-2020,507,315,28,164,,,,,,,,,,,
28-05-2020,516,349,29,134,,,,,,,,,,,
29-05-2020,558,388,29,141,,,,,,,,,,,
30-05-2020,570,423,30,117,,,,,,,,,,,
31-05-2020,581,432,32,117,,,,,,,,,,,
01-06-2020,605,442,34,129,,,,,,,,,,,
02-06-2020,627,462,34,131,,,,,,,,,,,
03-06-2020,667,478,34,155,,,,,,,,,,,
04-06-2020,712,488,34,188,,,,,,,,,,,
05-06-2020,726,505,34,187,,,,,,,,,,,
06-06-2020,756,531,36,189,,,,,,,,,,,
07-06-2020,813,540,37,226,,,,,,,,,,,
08-06-2020,821,545,39,237,,,,,,,,,,,
09-06-2020,864,545,40,279,,,,,,,,,,,
10-06-2020,884,577,42,265,,,,,,,,,,,
11-06-2020,914,577,43,294,,,,,,,,,,,
12-06-2020,973,606,44,323,,,,,,,,,,,
13-06-2020,985,625,46,314,,,,,,,,,,,
14-06-2020,1007,637,51,319,,,,,,,,,,,
15-06-2020,1041,659,53,330,,,,,,,,,,,
16-06-2020,1073,676,56,341,,,,,,,,,,,
17-06-2020,1092,707,56,329,,,,,,,,,,,
18-06-2020,1106,724,58,324,,,,,,,,,,,
19-06-2020,1136,742,59,335,,,,,,,,,,,
20-06-2020,1161,742,59,360,,,,,,,,,,,
21-06-2020,1192,762,66,364,,,,,,,,,,,
22-06-2020,1243,765,66,412,,,,,,,,,,,
